grid_id,grid_x,grid_y,status,severity,flags,advice,num_episodes,episode_ids,num_high,num_low,matched_pairs,high_low_balance_ratio,high_low_imbalance,missing_high_low_pair_flag,high_minus_low_eef_gap,high_episode_ids,low_episode_ids,eef_z_max_mean,eef_z_max_std,eef_z_max_range,prelift_wrist_iqr,prelift_elbow_iqr
cell_x00_y00,0,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,0,,,0,,,,,,,,
cell_x01_y00,1,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,0,,,0,,,,,,,,
cell_x02_y00,2,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,0,,,0,,,,,,,,
cell_x03_y00,3,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,0,,,0,,,,,,,,
cell_x04_y00,4,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,0,,,0,,,,,,,,
cell_x00_y01,0,1,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW",resume recording: add at least 4 demos in this cell; add at least 8 high-EEF demos in this cell; add at least 7 low-EEF demos in this cell,1,50,0,1,0,0.0,1.0,1,,,50,0.07504519291500186,0.0,0.0,0.0,0.0
cell_x01_y01,1,1,CURATE_OR_RERECORD,3,"MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE",add at least 4 high-EEF demos in this cell; add at least 1 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos,11,"42,44,46,47,51,52,53,55,56,57,59",4,7,4,0.5714285714285714,0.2727272727272727,0,0.11837358910471195,"42,44,46,47","51,52,53,55,56,57,59",0.11421091279595137,0.05730534036375576,0.13865288066400738,8.834622123024687,8.788815931840375
cell_x02_y01,2,1,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,0,,,0,,,,,,,,
cell_x03_y01,3,1,CURATE_OR_RERECORD,3,"MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL",add at least 4 high-EEF demos in this cell; add at least 3 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy,9,"22,24,25,29,33,34,35,38,39",4,5,4,0.8,0.1111111111111111,0,0.11618143889914859,"22,24,25,29","33,34,35,38,39",0.12447369469533741,0.058008215900829156,0.13012437996895623,17.39830918745561,6.660109780051492
cell_x04_y01,4,1,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_HIGH,MISSING_OR_LOW_LOW,HIGH_EEF_STD,HIGH_EEF_RANGE,ELBOW_MULTIMODAL",resume recording: add at least 3 demos in this cell; add at least 7 high-EEF demos in this cell; add at least 7 low-EEF demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift elbow style varies too much; re-record with consistent elbow strategy,2,"26,32",1,1,1,1.0,0.0,0,0.10720107043775373,26,32,0.13838555178762552,0.053600535218876866,0.10720107043775373,5.3344573974609375,15.543768275867812
