grid_id,grid_x,grid_y,status,severity,flags,advice,num_episodes,episode_ids,num_high,num_low,high_low_balance_ratio,high_minus_low_eef_gap,high_episode_ids,low_episode_ids,eef_z_max_mean,eef_z_max_std,eef_z_max_range,prelift_wrist_iqr,prelift_elbow_iqr
cell_x00_y00,0,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,,,,,,,,,
cell_x01_y00,1,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,,,,,,,,,
cell_x02_y00,2,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,,,,,,,,,
cell_x03_y00,3,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,,,,,,,,,
cell_x04_y00,4,0,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,,,,,,,,,
cell_x00_y01,0,1,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_LOW",resume recording: add at least 4 demos in this cell; add at least 1 low-EEF demos in this cell,1,15,1,0,0.0,,15,,0.13316850856138857,0.0,0.0,0.0,0.0
cell_x01_y01,1,1,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_HIGH",resume recording: add at least 3 demos in this cell; add at least 1 high-EEF demos in this cell,2,"39,40",0,2,0.0,,,"39,40",0.07571647567931913,0.005390815593943971,0.010781631187887941,3.9321927157315315,8.65884486111728
cell_x02_y01,2,1,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_LOW",resume recording: add at least 3 demos in this cell; add at least 1 low-EEF demos in this cell,2,"12,19",2,0,0.0,,"12,19",,0.11938300515948541,0.008242589157055828,0.016485178314111656,0.3331746188077176,1.594772859053176
cell_x03_y01,3,1,CURATE_OR_RERECORD,3,"LOW_COUNT,HIGH_EEF_STD,HIGH_EEF_RANGE",resume recording: add at least 2 demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos,3,"16,18,38",2,1,0.5,0.048920353400683736,"16,18",38,0.10179558582453897,0.02310943421729974,0.050746624414606145,1.7757107127796417,2.1216806064952465
cell_x04_y01,4,1,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,,,,,,,,,
cell_x00_y02,0,2,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,,,,,,,,,
cell_x01_y02,1,2,CURATE_OR_RERECORD,3,"HIGH_EEF_STD,HIGH_EEF_RANGE,ELBOW_MULTIMODAL",inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift elbow style varies too much; re-record with consistent elbow strategy,10,"3,6,9,13,20,29,32,47,49,59",6,4,0.6666666666666666,0.05058504753514932,"3,6,9,13,20,29","32,47,49,59",0.10348075609056959,0.0252690390962236,0.06302346225068067,13.647348577326,19.462202733213253
cell_x02_y02,2,2,CURATE_OR_RERECORD,3,"HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL,ELBOW_MULTIMODAL",inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy; pre-lift elbow style varies too much; re-record with consistent elbow strategy,10,"0,1,4,26,30,52,55,56,58,60",4,6,0.6666666666666666,0.05045420881834008,"0,1,4,26","30,52,55,56,58,60",0.09587316336785201,0.02547007642170208,0.06889114536333,31.023687709461555,27.13748773661527
cell_x03_y02,3,2,CURATE_OR_RERECORD,3,"HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL,ELBOW_MULTIMODAL",inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy; pre-lift elbow style varies too much; re-record with consistent elbow strategy,10,"2,27,31,35,36,37,46,50,51,57",2,8,0.25,0.05333486418670609,"2,27","31,35,36,37,46,50,51,57",0.07986904466883574,0.022060697412894004,0.06820807935597087,23.724966742775663,16.753899010744963
cell_x04_y02,4,2,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_HIGH",resume recording: add at least 4 demos in this cell; add at least 1 high-EEF demos in this cell,1,45,0,1,0.0,,,45,0.07351789529494548,0.0,0.0,0.0,0.0
cell_x00_y03,0,3,CURATE_OR_RERECORD,3,"LOW_COUNT,MISSING_OR_LOW_LOW",resume recording: add at least 4 demos in this cell; add at least 1 low-EEF demos in this cell,1,14,1,0,0.0,,14,,0.12341756158449524,0.0,0.0,0.0,0.0
cell_x01_y03,1,3,CURATE_OR_RERECORD,3,"HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL,ELBOW_MULTIMODAL",inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy; pre-lift elbow style varies too much; re-record with consistent elbow strategy,9,"8,11,21,25,28,41,42,48,53",5,4,0.8,0.052889525203885804,"8,11,21,25,28","41,42,48,53",0.10661112249600288,0.02822117215305843,0.08237716722656858,32.34357313676314,28.944780436429113
cell_x02_y03,2,3,CURATE_OR_RERECORD,3,"LOW_COUNT,HIGH_EEF_STD,HIGH_EEF_RANGE",resume recording: add at least 1 demos in this cell; inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos,4,"5,17,22,33",3,1,0.3333333333333333,0.06244794723578431,"5,17,22",33,0.1092200375810918,0.028660428384541786,0.07052725163595988,7.4909388802268495,10.446817777373571
cell_x03_y03,3,3,CURATE_OR_RERECORD,3,"HIGH_EEF_STD,HIGH_EEF_RANGE,WRIST_MULTIMODAL,ELBOW_MULTIMODAL",inspect/re-record episodes with abnormal EEF peak height; same cell contains mixed lift outcomes; curate or re-record inconsistent demos; pre-lift wrist style varies too much; re-record with consistent wrist strategy; pre-lift elbow style varies too much; re-record with consistent elbow strategy,8,"7,10,23,24,34,43,44,54",4,4,1.0,0.05415820035241026,"7,10,23,24","34,43,44,54",0.10214433330279898,0.02778219406393535,0.07284653699685503,17.83216840570624,21.611985369162127
cell_x04_y03,4,3,EMPTY_RECORD_IF_NEEDED,3,EMPTY_CELL,record demos in this spatial cell if it is inside the intended workspace,0,,0,0,,,,,,,,,
